Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.fhir.asia.aps.json	16266	-	0	0	0	0	0	0	14	109	0	0	1	0	0	0	0	2	0	0	225	329	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-allergyintolerance-aps.json	734	8	0	51	2	0	0	0	0	48	0	0	1	0	0	0	0	1	0	0	648	1994	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-bundle-aps.json	626	5	0	428	0	0	0	0	0	153	0	0	2	0	0	0	0	13	0	0	8135	2726	0	0	0	66	1	6
fsh-generated/resources/StructureDefinition-composition-aps.json	671	3	0	198	0	0	0	0	0	78	0	0	2	0	0	0	0	4	0	0	3825	2901	0	0	0	37	0	4
fsh-generated/resources/StructureDefinition-condition-aps.json	653	5	0	24	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	603	717	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-device-aps.json	626	5	0	25	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	484	611	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-deviceusestatement-aps.json	734	4	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	385	511	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-diagnosticreport-aps.json	716	3	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	432	572	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-flag-alert-aps.json	643	5	0	12	2	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	260	418	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-immunization-aps.json	680	5	0	39	0	0	0	0	0	66	0	0	0	0	0	0	0	1	0	0	878	642	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-medication-aps.json	662	3	0	20	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	369	541	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-medicationrequest-aps.json	725	5	0	34	0	0	0	0	0	31	0	0	1	0	0	0	0	1	0	0	939	687	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-medicationstatement-aps.json	743	4	0	26	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	511	523	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-observation-pregnancy-edd-aps.json	753	5	0	57	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	665	528	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-observation-pregnancy-outcome-aps.json	777	3	0	28	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	566	560	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-observation-pregnancy-status-aps.json	771	2	0	29	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	879	570	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-organization-aps.json	680	3	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	266	405	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-patient-aps.json	635	2	0	25	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	833	429	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-practitioner-aps.json	680	4	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	384	396	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-practitionerrole-aps.json	716	2	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	628	440	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-procedure-aps.json	653	2	0	21	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	658	584	0	0	0	5	0	0
fsh-generated/resources/ValueSet-gestational-age-loinc.json	1225	4	0	0	0	0	0	0	1	540	0	0	0	0	0	0	0	0	0	0	31	234	0	0	0	1	0	0
\input\includes\fragment-head.html	57	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\includes\img.html	238	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\includes\menu.xml	4501	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	1373	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\about.md	461	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\artifacts-overview.md	416	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\authors.md	161	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\board.md	7772	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\input\pagecontent\connectathon.md	309	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\contact-us.md	371	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\contributors.md	478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\copyright.md	71	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\crossversionanalysis.md	164	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\dependencies.md	111	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\digital-wallet.md	674	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\downloads.md	722	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\green-button.md	1882	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\hl7-fhir-ips.md	325	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\ihe-profiles.md	657	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\index.md	1048	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\introduction.md	807	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\knownIssues.md	383	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\logicalmodels.md	1432	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\mappings.md	1501	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\missing-data.md	3742	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\national-standards.md	659	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\obligations.md	2415	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\overview.md	3148	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
\input\pagecontent\plugathon.md	307	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\profile-ipd-actors.md	779	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\profile-ipd-cross-profile.md	743	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ipd-options.md	589	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ipd-scope.md	797	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\profile-ipd-security.md	657	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\profile-ipd-transactions.md	666	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ipd.md	4160	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-actors.md	800	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-cross-profile.md	725	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-options.md	657	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-scope.md	742	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-security.md	723	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw-transactions.md	699	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ips-dhw.md	3064	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ipse-actors.md	822	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\profile-ipse-cross-profile.md	700	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\input\pagecontent\profile-ipse-options.md	705	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
